genotype,stage,stress,Rep,Gene_1,Gene_1Ct,Gene_2,Gene_2Ct,Gene_3,Gene_3Ct,Gene_4,Gene_4Ct,Gene_5,Gene_5Ct,Gene_6,Gene_6Ct,Gene_7,Gene_7Ct,Gene_8,Gene_8Ct,ref,refCT
R16P1,4LS,Control,1,1.8,25.17,1.8,28.527891,1.8,16.42,1.82,19.26,1.8,25.89,1.8,27.97,1.8,23.68,1.8,27.09,2,24.49
R16P1,4LS,Control,2,1.8,25.07,1.8,28.41374,1.8,16.48,1.82,19.38,1.8,25.66,1.8,27.81,1.8,23.9,1.8,27.05,2,24.8
R16P1,4LS,Drought,1,1.8,26.72,1.8,28.082955,1.8,15.6,1.82,20.07,1.8,23.6,1.8,26.77,1.8,26.21,1.8,27.58,2,25.55
R16P1,4LS,Drought,2,1.8,26.9,1.8,28.351812,1.8,15.56,1.82,20.22,1.8,23.64,1.8,26.67,1.8,26.58,1.8,27.57,2,25.36
R16P1,5LS,Control,1,1.8,26.21,1.8,27.195005,1.8,14.38,1.82,20.25,1.8,25.39,1.8,28.08,1.8,27.19,1.8,27.1,2,25
R16P1,5LS,Control,2,1.8,26.08,1.8,27.206723,1.8,14.14,1.82,20.31,1.8,25.52,1.8,28.04,1.8,27.57,1.8,27.02,2,25.2
R16P1,5LS,Drought,1,1.8,26.78,1.8,25.754816,1.8,13.23,1.82,20.07,1.8,24.84,1.8,26.38,1.8,27.07,1.8,27.69,2,26.05
R16P1,5LS,Drought,2,1.8,26.94,1.8,25.68126,1.8,13.05,1.82,20.27,1.8,24.72,1.8,26.48,1.8,27.24,1.8,27.43,2,25.87
R16P1,6LS,Control,1,1.8,26.43,1.8,28.685316,1.8,13.06,1.82,22.41,1.8,24.95,1.8,29.57,1.8,29.54,1.8,27.51,2,25.57
R16P1,6LS,Control,2,1.8,25.94,1.8,28.549848,1.8,13.22,1.82,22.25,1.8,24.76,1.8,29.5,1.8,29.33,1.8,27.57,2,25.03
R16P1,6LS,Drought,1,1.8,25.78,1.8,25.556622,1.8,11.87,1.82,20.93,1.8,24.67,1.8,27.88,1.8,28.43,1.8,28.29,2,26.44
R16P1,6LS,Drought,2,1.8,26.19,1.8,25.553147,1.8,11.69,1.82,21.18,1.8,24.6,1.8,27.92,1.8,28.81,1.8,28.24,2,26.62
R16P1,7LS,Control,1,1.8,26.42,1.8,27.21657,1.8,12.96,1.82,21.06,1.8,25.08,1.8,27.9,1.8,28.08,1.8,28.42,2,25.16
R16P1,7LS,Control,2,1.8,26.27,1.8,27.335014,1.8,12.62,1.82,21.17,1.8,24.72,1.8,27.58,1.8,27.5,1.8,28.21,2,25.05
R16P1,7LS,Drought,1,1.8,25.75,1.8,26.008603,1.8,11.35,1.82,18.78,1.8,23.92,1.8,27,1.8,28.21,1.8,28.27,2,25.57
R16P1,7LS,Drought,2,1.8,25.55,1.8,25.87048,1.8,11.28,1.82,18.6,1.8,24.09,1.8,27.2,1.8,27.88,1.8,28.15,2,25.57
Pishgam,4LS,Control,1,1.8,25.34,1.8,27.69033,1.8,18.61,1.82,20.3,1.8,25.02,1.8,25,1.8,24.72,1.8,22.59,2,24.44
Pishgam,4LS,Control,2,1.8,25.99,1.8,28.059586,1.8,17.86,1.82,20.26,1.8,24.78,1.8,25.22,1.8,25.2,1.8,22.38,2,24.57
Pishgam,4LS,Drought,1,1.8,27.39,1.8,26.460007,1.8,17.91,1.82,21.27,1.8,23.46,1.8,28.08,1.8,27.09,1.8,25.56,2,25.57
Pishgam,4LS,Drought,2,1.8,26.47,1.8,26.196126,1.8,17.86,1.82,21.09,1.8,23.45,1.8,28.37,1.8,27.09,1.8,25.39,2,25.38
Pishgam,5LS,Control,1,1.8,26.78,1.8,26.226415,1.8,17.03,1.82,22.12,1.8,25.01,1.8,26.97,1.8,27.6,1.8,26.81,2,25.26
Pishgam,5LS,Control,2,1.8,27.53,1.8,26.023469,1.8,16.9,1.82,22,1.8,25.26,1.8,26.57,1.8,28.04,1.8,27.09,2,25.23
Pishgam,5LS,Drought,1,1.8,25.31,1.8,25.308135,1.8,15.31,1.82,22.46,1.8,23.86,1.8,25.28,1.8,27.69,1.8,27.61,2,25.26
Pishgam,5LS,Drought,2,1.8,26.26,1.8,25.046737,1.8,15.21,1.82,22.31,1.8,23.79,1.8,25.41,1.8,28.08,1.8,27.73,2,25.52
Pishgam,6LS,Control,1,1.8,26.39,1.8,26.044416,1.8,16.24,1.82,23.06,1.8,23.42,1.8,28.28,1.8,28.1,1.8,25.92,2,25.52
Pishgam,6LS,Control,2,1.8,26.66,1.8,26.156195,1.8,16.18,1.82,23.05,1.8,23.7,1.8,27.92,1.8,28.12,1.8,26.18,2,25.43
Pishgam,6LS,Drought,1,1.8,25.54,1.8,27.839283,1.8,14.46,1.82,23.9,1.8,23.04,1.8,27.43,1.8,28.56,1.8,26.83,2,25.71
Pishgam,6LS,Drought,2,1.8,25.85,1.8,27.512413,1.8,14.43,1.82,23.99,1.8,23.41,1.8,27.99,1.8,28.12,1.8,26.71,2,26.12
Pishgam,7LS,Control,1,1.8,26.59,1.8,25.773545,1.8,15.98,1.82,23.52,1.8,25.02,1.8,26.23,1.8,26.89,1.8,26.42,2,25
Pishgam,7LS,Control,2,1.8,26.36,1.8,25.52896,1.8,15.74,1.82,23.23,1.8,25.28,1.8,26.74,1.8,27.32,1.8,26.35,2,25.52
Pishgam,7LS,Drought,1,1.8,26.04,1.8,27.059831,1.8,14.68,1.82,25.23,1.8,24.54,1.8,26.34,1.8,28.07,1.8,27.1,2,25.52
Pishgam,7LS,Drought,2,1.8,26.45,1.8,27.628244,1.8,14.53,1.82,25.31,1.8,24.66,1.8,27,1.8,28.47,1.8,27.03,2,25.74
