factor1,DS,biolRep,techRep,APOE,Ct_APOE,GAPDH,Ct_GAPDH
DSi,D7,1,1,2.08,24.86,2.11,16.89
DSi,D7,1,2,1.92,25.32,1.93,17.24
DSi,D7,2,1,2.1,23.96,1.91,16.34
DSi,D7,2,2,1.99,24.56,1.92,16.22
DSi,D7,3,1,1.9,24.23,1.91,15.42
DSi,D7,3,2,1.92,23.13,2.16,14.99
DSi,D12,1,1,1.97,26.49,1.94,16.15
DSi,D12,1,2,1.97,26.43,1.98,16.48
DSi,D12,2,1,2.04,25.72,1.94,16.09
DSi,D12,2,2,2.15,24.89,1.95,16.46
DSi,D12,3,1,1.98,24.57,2.03,14.77
DSi,D12,3,2,1.95,24.73,2.1,14.9
DSi,D15,1,1,1.88,29.07,1.96,16.28
DSi,D15,1,2,1.95,29.41,1.92,16.12
DSi,D15,2,1,1.95,27.2,1.96,16.47
DSi,D15,2,2,2,27.35,1.99,16.31
DSi,D15,3,1,1.83,27.03,2.03,14.83
DSi,D15,3,2,2.04,26.85,2.06,14.88
DSi,D18,1,1,1.98,30.4,1.95,16.16
DSi,D18,1,2,2.03,31.56,1.98,16.3
DSi,D18,2,1,1.96,30.27,1.96,16.27
DSi,D18,2,2,1.96,30.16,1.98,16.34
DSi,D18,3,1,2.13,29.92,2.07,14.69
DSi,D18,3,2,2.09,29.86,2.08,14.78
DSWi,D7,1,1,2.04,25.86,1.93,16.44
DSWi,D7,1,2,2.03,25.81,2.07,16.81
DSWi,D7,2,1,2.06,24.44,2.07,14.9
DSWi,D7,2,2,2.11,23.85,2.09,14.89
DSWi,D7,3,1,2.29,23.41,2.18,14.43
DSWi,D7,3,2,2.32,23.25,2.11,14.51
DSWi,D12,1,1,1.93,25.25,2.13,15.98
DSWi,D12,1,2,1.96,25.41,2.03,15.7
DSWi,D12,2,1,1.94,24.15,2.04,14.77
DSWi,D12,2,2,1.9,24.17,2.02,14.68
DSWi,D12,3,1,2.11,23.88,2.38,14.81
DSWi,D12,3,2,2.1,23.78,2.29,14.68
DSWi,D15,1,1,1.9,29.05,1.91,16.35
DSWi,D15,1,2,1.91,28.18,1.88,16.01
DSWi,D15,2,1,1.95,28.42,1.99,14.74
DSWi,D15,2,2,1.92,28.14,1.99,14.77
DSWi,D15,3,1,2.13,26.96,2.34,14.71
DSWi,D15,3,2,2.12,27.05,2.45,14.76
DSWi,D18,1,1,1.95,29.45,2.02,16.51
DSWi,D18,1,2,1.91,30.01,2.06,16.66
DSWi,D18,2,1,2.08,28.64,1.94,14.42
DSWi,D18,2,2,2.09,28.67,2,14.56
DSWi,D18,3,1,2.08,28.63,2.11,14.08
DSWi,D18,3,2,2.1,28.73,2.17,14.04
DSWHi,D7,1,1,2.05,24.26,2.07,15.11
DSWHi,D7,1,2,2.11,24.09,2.13,15.41
DSWHi,D7,2,1,2.05,26.78,2.04,16.7
DSWHi,D7,2,2,1.89,26.18,2.01,16.73
DSWHi,D7,3,1,2.24,24.99,2.17,14.72
DSWHi,D7,3,2,2.15,24.67,2.18,14.73
DSWHi,D12,1,1,2,24.64,2.19,14.61
DSWHi,D12,1,2,2.24,24.78,2.19,14.74
DSWHi,D12,2,1,1.95,27.69,1.94,16.39
DSWHi,D12,2,2,2.02,27.88,1.93,16.38
DSWHi,D12,3,1,2.03,26.53,2.03,14.3
DSWHi,D12,3,2,2.03,26.26,2.02,14.28
DSWHi,D15,1,1,2.01,27.19,2.02,15.1
DSWHi,D15,1,2,2.19,26.87,2.07,15.16
DSWHi,D15,2,1,1.99,29.79,2.06,15.83
DSWHi,D15,2,2,2.02,29.77,2.09,15.91
DSWHi,D15,3,1,1.97,28.02,2.14,13.88
DSWHi,D15,3,2,2.04,28.39,2.17,13.74
DSWHi,D18,1,1,2.17,28.71,2.04,15.11
DSWHi,D18,1,2,2.05,29.02,2.08,15.08
DSWHi,D18,2,1,1.88,31.18,1.9,16.08
DSWHi,D18,2,2,1.99,31.58,1.87,16.14
DSWHi,D18,3,1,2.14,30.51,2.17,13.98
DSWHi,D18,3,2,2.07,30.26,1.98,14.03
