treatment,time,id,Target,Target_Ct,Ref,Ref_Ct
untreated,t1,1,2,19.24,2,33.73
untreated,t1,2,2,20.11,2,32.56
untreated,t1,3,2,20.63,2,33.72
untreated,t2,1,2,19.95,2,34.2
untreated,t2,2,2,20.91,2,33.98
untreated,t2,3,2,19.16,2,34.51
untreated,t3,1,2,19.16,2,33.9
untreated,t3,2,2,20.91,2,33.16
untreated,t3,3,2,19.91,2,34.33
treated,t1,4,2,18.92,2,32.77
treated,t1,5,2,15.82,2,32.45
treated,t1,6,2,19.84,2,31.62
treated,t2,4,2,19.46,2,33.03
treated,t2,5,2,17.56,2,33.24
treated,t2,6,2,19.74,2,32.08
treated,t3,4,2,15.73,2,32.95
treated,t3,5,2,17.21,2,33.64
treated,t3,6,2,18.09,2,33.4
