Condition,biolrep,techrep,target,Ct_target,ref,Ct_ref
Ctrl,1,1,2,undeterminned,2,31.52
Ctrl,1,2,2,28.895,2,29.905
Ctrl,1,3,2,28.893,2,29.454
Ctrl,2,1,2,30.411,2,28.798
Ctrl,2,2,2,33.39,2,31.574
Ctrl,2,3,2,33.211,2,31.326
Ctrl,3,1,2,33.845,2,31.759
Ctrl,3,2,2,33.345,2,31.548
Ctrl,3,3,2,32.5,2,31.477
Treat,1,1,2,33.006,2,31.483
Treat,1,2,2,32.588,2,31.902
Treat,1,3,2,33.37,2,31.196
Treat,2,1,2,undeterminned,2,31.44
Treat,2,2,2,32.75,2,31.3
Treat,2,3,2,32.45,2,32.597
Treat,3,1,2,35.238,2,31.461
Treat,3,2,2,28.532,2,30.651
Treat,3,3,2,28.285,2,30.745
