stage,stress,Rep,TraesCS2D02G351900,TargetCT,TraesCS4A02G268500,CtTarget,TraesCS4B02G155800,TargetCT,TraesCS5B02G163500,TargetCT,TraesCS6A02G218900,TargetCT,TraesCS6B02G315400,TargetCT,TraesCS7A02G218600,TargetCT,TraesCS7B02G400600,TargetCT,EReference,RefrenceCT
4LS,Control,1,1.8,25.17,1.8,28.527891,1.8,16.42,1.82,19.26,1.8,25.89,1.8,27.97,1.8,23.68,1.8,27.09,2,24.49
4LS,Control,2,1.8,25.07,1.8,28.41374,1.8,16.48,1.82,19.38,1.8,25.66,1.8,27.81,1.8,23.9,1.8,27.05,2,24.8
4LS,Drought,1,1.8,26.72,1.8,28.082955,1.8,15.6,1.82,20.07,1.8,23.6,1.8,26.77,1.8,26.21,1.8,27.58,2,25.55
4LS,Drought,2,1.8,26.9,1.8,28.351812,1.8,15.56,1.82,20.22,1.8,23.64,1.8,26.67,1.8,26.58,1.8,27.57,2,25.36
5LS,Control,1,1.8,26.21,1.8,27.195005,1.8,14.38,1.82,20.25,1.8,25.39,1.8,28.08,1.8,27.19,1.8,27.1,2,25
5LS,Control,2,1.8,26.08,1.8,27.206723,1.8,14.14,1.82,20.31,1.8,25.52,1.8,28.04,1.8,27.57,1.8,27.02,2,25.2
5LS,Drought,1,1.8,26.78,1.8,25.754816,1.8,13.23,1.82,20.07,1.8,24.84,1.8,26.38,1.8,27.07,1.8,27.69,2,26.05
5LS,Drought,2,1.8,26.94,1.8,25.68126,1.8,13.05,1.82,20.27,1.8,24.72,1.8,26.48,1.8,27.24,1.8,27.43,2,25.87
6LS,Control,1,1.8,26.43,1.8,28.685316,1.8,13.06,1.82,22.41,1.8,24.95,1.8,29.57,1.8,29.54,1.8,27.51,2,25.57
6LS,Control,2,1.8,25.94,1.8,28.549848,1.8,13.22,1.82,22.25,1.8,24.76,1.8,29.5,1.8,29.33,1.8,27.57,2,25.03
6LS,Drought,1,1.8,25.78,1.8,25.556622,1.8,11.87,1.82,20.93,1.8,24.67,1.8,27.88,1.8,28.43,1.8,28.29,2,26.44
6LS,Drought,2,1.8,26.19,1.8,25.553147,1.8,11.69,1.82,21.18,1.8,24.6,1.8,27.92,1.8,28.81,1.8,28.24,2,26.62
7LS,Control,1,1.8,26.42,1.8,27.21657,1.8,12.96,1.82,21.06,1.8,25.08,1.8,27.9,1.8,28.08,1.8,28.42,2,25.16
7LS,Control,2,1.8,26.27,1.8,27.335014,1.8,12.62,1.82,21.17,1.8,24.72,1.8,27.58,1.8,27.5,1.8,28.21,2,25.05
7LS,Drought,1,1.8,25.75,1.8,26.008603,1.8,11.35,1.82,18.78,1.8,23.92,1.8,27,1.8,28.21,1.8,28.27,2,25.57
7LS,Drought,2,1.8,25.55,1.8,25.87048,1.8,11.28,1.82,18.6,1.8,24.09,1.8,27.2,1.8,27.88,1.8,28.15,2,25.57
