"gene","contrast","ddCt","RE","log2FC","LCL","UCL","se","Lower.se.RE","Upper.se.RE","Lower.se.log2FC","Upper.se.log2FC","pvalue","sig"
"Fn1","Uninjected",0,1,0,0,0,0.14499,0.90438,1.10573,-0.14499,0.14499,1," "
"Fn1","SNConly vs Uninjected",-0.6325,1.55025,0.6325,0.48214,4.98456,0.59119,1.02905,2.33544,0.04131,1.22369,0.29367," "
"Fn1","DMSORPE vs Uninjected",-2.0515,4.14537,2.0515,1.36889,12.55333,0.45867,3.01641,5.69686,1.59283,2.51017,0.00224,"**"
"Fn1","SNCRPE vs Uninjected",-0.4455,1.36179,0.4455,0.44969,4.12387,0.19441,1.19011,1.55823,0.25109,0.63991,0.43146," "
"Col1a1","Uninjected",0,1,0,0,0,0.19661,0.8726,1.146,-0.19661,0.19661,1," "
"Col1a1","SNConly vs Uninjected",0.3525,0.78323,-0.3525,0.26892,2.28115,0.53332,0.54118,1.13353,-0.88582,0.18082,0.51727," "
"Col1a1","DMSORPE vs Uninjected",-1.3975,2.63445,1.3975,0.95554,7.26326,0.42421,1.96332,3.53499,0.97329,1.82171,0.01486,"*"
"Col1a1","SNCRPE vs Uninjected",-0.0715,1.05081,0.0715,0.38114,2.89712,0.14271,0.95184,1.16007,-0.07121,0.21421,0.88907," "
"Acta2","Uninjected",0,1,0,0,0,0.16934,0.88925,1.12454,-0.16934,0.16934,1," "
"Acta2","SNConly vs Uninjected",0.0375,0.97434,-0.0375,0.40226,2.36001,0.1663,0.86826,1.09339,-0.2038,0.1288,0.93315," "
"Acta2","DMSORPE vs Uninjected",-0.989,1.98481,0.989,0.8575,4.59415,0.37969,1.52553,2.58236,0.60931,1.36869,0.03243,"*"
"Acta2","SNCRPE vs Uninjected",-0.219,1.16393,0.219,0.50285,2.69409,0.30328,0.94326,1.43622,-0.08428,0.52228,0.60731," "
"TgfB","Uninjected",0,1,0,0,0,0.13829,0.9086,1.1006,-0.13829,0.13829,1," "
"TgfB","SNConly vs Uninjected",0.105,0.9298,-0.105,0.54367,1.59018,0.08901,0.87417,0.98898,-0.19401,-0.01599,0.69937," "
"TgfB","DMSORPE vs Uninjected",-0.7695,1.70468,0.7695,1.02459,2.8362,0.14389,1.54286,1.88346,0.62561,0.91339,0.00873,"**"
"TgfB","SNCRPE vs Uninjected",0.2905,0.81762,-0.2905,0.49142,1.36033,0.24979,0.68763,0.97217,-0.54029,-0.04071,0.26956," "
"Tnfa","Uninjected",0,1,0,0,0,0.26525,0.83206,1.20184,-0.26525,0.26525,1," "
"Tnfa","SNConly vs Uninjected",0.5825,0.66781,-0.5825,0.28083,1.58804,0.11139,0.61818,0.72141,-0.69389,-0.47111,0.19696," "
"Tnfa","DMSORPE vs Uninjected",-2.0905,4.25896,2.0905,1.87239,9.68744,0.25557,3.56755,5.08436,1.83493,2.34607,0.00015,"***"
"Tnfa","SNCRPE vs Uninjected",-1.4465,2.72546,1.4465,1.19821,6.19934,0.37928,2.09539,3.54499,1.06722,1.82578,0.00323,"**"
"Mcp1","Uninjected",0,1,0,0,0,0.15644,0.89724,1.11453,-0.15644,0.15644,1," "
"Mcp1","SNConly vs Uninjected",-0.3175,1.24617,0.3175,0.4271,3.63597,0.09806,1.16428,1.33382,0.21944,0.41556,0.5598," "
"Mcp1","DMSORPE vs Uninjected",-2.7335,6.65067,2.7335,2.40817,18.36727,0.55097,4.53949,9.74369,2.18253,3.28447,9e-05,"***"
"Mcp1","SNCRPE vs Uninjected",-0.7875,1.72608,0.7875,0.625,4.76695,0.26734,1.43412,2.07749,0.52016,1.05484,0.14065," "
